factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,CUST_CODE
0.06843185,0.044129856,-0.0020007729,0.05587516,-0.00027500602,0.10687762,-0.012296579,0.036534224,-0.017860835,0.054849535,CUST0000040366
0.06431244,0.14125621,0.13542223,0.020037439,0.16407493,0.008835116,-0.014886683,0.12207108,0.0731317,0.01638408,CUST0000040788
0.24158321,0.08274345,0.066680714,0.21364145,0.24087007,0.1526241,0.11114824,0.2486041,0.13729072,0.1343679,CUST0000040819
0.039939135,0.06324375,0.03395374,0.036530074,0.016583417,0.08753451,0.016190663,0.020111464,0.023238095,0.04538649,CUST0000041142
-0.0008493996,0.0005058858,1.1316328e-05,0.0012242573,-0.00045461103,0.00068085565,-0.000608632,0.0009059095,-0.0013536758,0.0021118019,CUST0000041292
0.050081704,0.032214634,0.03617166,0.057760417,0.034031603,0.05331569,0.022171304,0.080208994,0.019538365,0.042404573,CUST0000041315
0.010272548,0.01449169,0.020921824,0.004431778,0.006898529,0.018739255,0.012179491,0.011120741,0.0042741643,0.017557893,CUST0000041397
0.0053479285,0.016097404,0.020482369,0.065818414,0.019629642,0.03862301,0.0068437774,0.066824466,0.034326788,0.06591633,CUST0000041637
0.00090254546,0.0062376624,0.0048929914,0.010489617,0.0059710047,0.004234267,-0.00045426344,0.0039399974,0.004126622,0.0046252245,CUST0000041705
0.23727901,-0.02011951,0.043399572,0.20095389,-0.17769629,0.17928167,-0.05367283,0.24513945,0.51750296,0.44520333,CUST0000041792
0.0015470416,0.020277549,0.025227455,-0.011871028,0.03308286,-0.021140572,0.014473604,-0.005424579,-0.0032652721,0.015683446,CUST0000041920
0.011695281,0.014928182,0.013548753,0.0069616046,0.0011151361,0.01698714,0.006927256,0.010068341,0.011942259,0.004660545,CUST0000042133
0.08769212,0.072813556,-0.006219552,0.05374858,0.05852111,0.10014688,0.019758238,0.10731863,0.1109592,0.048223052,CUST0000042310
